Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
114       1.140     -28.384147919965     13.308900901392     -41.693048821358     119.169317424633
116       1.160     -28.342217105829     13.286562265566     -41.628779371395     118.969294898105
118       1.180     -28.299924371239     13.335273131492     -41.635197502731     119.405457184279
120       1.200     -28.281823075727     13.412935356491     -41.694758432218     120.100853025850
122       1.220     -28.293706520734     13.466725877688     -41.760432398422     120.582499086825
124       1.240     -28.321247109682     13.463224875510     -41.784471985192     120.551150740104
126       1.260     -28.340798097020     13.411745206284     -41.752543303304     120.090196294030
128       1.280     -28.337996354470     13.368714976646     -41.706711331115     119.704899030743
130       1.300     -28.325249417634     13.396962464951     -41.722211882585     119.957830052263
132       1.320     -28.332409180137     13.481520718834     -41.813929898971     120.714973671603
134       1.340     -28.373041887416     13.546911068839     -41.919952956255     121.300485836275
136       1.360     -28.433205258501     13.554580888140     -41.987786146641     121.369162215920
138       1.380     -28.491581117238     13.523847636938     -42.015428754176     121.093973408433
140       1.400     -28.536219124717     13.481138531077     -42.017357655794     120.711551521683
142       1.420     -28.563228531715     13.438150726363     -42.001379258078     120.326634135693
144       1.440     -28.574124627532     13.410095145322     -41.984219772854     120.075421472276
146       1.460     -28.576669266443     13.401605274629     -41.978274541071     119.999402265049
148       1.480     -28.576103952733     13.388187989518     -41.964291942250     119.879262463859
150       1.500     -28.567288173215     13.360353994815     -41.927642168030     119.630033908139
152       1.520     -28.548386333702     13.356590666623     -41.904977000325     119.596336666324
154       1.540     -28.534360626078     13.402514492897     -41.936875118974     120.007543502346
156       1.560     -28.541825537313     13.458678539916     -42.000504077230     120.510442366551
158       1.580     -28.567898756554     13.474311662387     -42.042210418942     120.650423011679
160       1.600     -28.594583082322     13.447771724161     -42.042354806483     120.412781575596
162       1.620     -28.609068845493     13.420575855903     -42.029644701396     120.169266872084
164       1.640     -28.616948428403     13.424666357439     -42.041614785841     120.205893658884
166       1.660     -28.627670133515     13.423710472799     -42.051380606314     120.197334565921
168       1.680     -28.632764148858     13.384020602196     -42.016784751053     119.841947233529
170       1.700     -28.619914110258     13.338416378448     -41.958330488706     119.433602152592
172       1.720     -28.592285762383     13.322284496132     -41.914570258515     119.289155558651
174       1.740     -28.561204239683     13.320072188845     -41.881276428528     119.269346323366
176       1.760     -28.526927100423     13.297900289994     -41.824827390418     119.070816777491
178       1.780     -28.481232714136     13.268730142288     -41.749962856424     118.809624165339
180       1.800     -28.427043632564     13.275036745469     -41.702080378033     118.866094162510
182       1.820     -28.380909219436     13.324765273330     -41.705674492767     119.311368702136
184       1.840     -28.356904749347     13.386195405278     -41.743100154625     119.861420652163
186       1.860     -28.355987117008     13.433445433531     -41.789432550539     120.284502442083
188       1.880     -28.372336547459     13.462549121736     -41.834885669195     120.545099968777
190       1.900     -28.397973865037     13.466687806289     -41.864661671327     120.582158191460
192       1.920     -28.422239294398     13.447549284381     -41.869788578779     120.410789826086
194       1.940     -28.438091752809     13.420642411868     -41.858734164677     120.169862821287
196       1.960     -28.442567906368     13.388151240023     -41.830719146391     119.878933404966
198       1.980     -28.433223496789     13.362681609900     -41.795905106688     119.650875621731
200       2.000     -28.417661397160     13.381281223943     -41.798942621103     119.817418548631
202       2.020     -28.415924176519     13.445469463427     -41.861393639946     120.392166887556
204       2.040     -28.440910538064     13.506070694004     -41.946981232068     120.934796766345
206       2.060     -28.486040657325     13.524398430206     -42.010439087532     121.098905270072
208       2.080     -28.533120122469     13.493179381633     -42.026299504102     120.819366581139
210       2.100     -28.563158550935     13.428844758962     -41.992003309897     120.243307511553
212       2.120     -28.566669646513     13.367960137639     -41.934629784152     119.698140121810
214       2.140     -28.549353671458     13.339919638841     -41.889273310299     119.447062506407
216       2.160     -28.524514414925     13.336817819693     -41.861332234618     119.419288487089
218       2.180     -28.498624638734     13.330066017494     -41.828690656228     119.358832130451
220       2.200     -28.468040108336     13.306174733106     -41.774214841441     119.144907023180
222       2.220     -28.426252204192     13.275873762322     -41.702125966514     118.873588900646
224       2.240     -28.373743826542     13.267466537977     -41.641210364519     118.798309717631
226       2.260     -28.322391695099     13.293811179323     -41.616202874422     119.034202444632
228       2.280     -28.283200534132     13.328997278906     -41.612197813038     119.349262531205
230       2.300     -28.256857700583     13.356571565100     -41.613429265683     119.596165629255
232       2.320     -28.241565299798     13.385246275920     -41.626811575718     119.852922046717
234       2.340     -28.238701111370     13.413493390072     -41.652194501442     120.105849718023
236       2.360     -28.245122503018     13.414645170168     -41.659767673186     120.116162879787
238       2.380     -28.247070445887     13.376804666850     -41.623875112736     119.777334979209
240       2.400     -28.231343791916     13.327800678110     -41.559144470026     119.338548040111
242       2.420     -28.197883511670     13.309772711767     -41.507656223437     119.177123707666
244       2.440     -28.163614793186     13.352578825507     -41.516193618693     119.560414213307
246       2.460     -28.152856181571     13.439793542780     -41.592649724352     120.341344089020
248       2.480     -28.177560526431     13.518838998844     -41.696399525275     121.049125529003
250       2.500     -28.229294357148     13.554463525487     -41.783757882635     121.368111338209
252       2.520     -28.290643120953     13.550903527043     -41.841546647996     121.336234732637
254       2.540     -28.347861103736     13.529813840704     -41.877674944440     121.147395432960
256       2.560     -28.397007106711     13.519184986336     -41.916192093047     121.052223537894
258       2.580     -28.445303838120     13.531131064567     -41.976434902687     121.159189995845
260       2.600     -28.499103083933     13.532684015248     -42.031787099181     121.173095281791
262       2.620     -28.548429084079     13.482313738242     -42.030742822322     120.722074451920
264       2.640     -28.571102579488     13.383758251693     -41.954860831181     119.839598119163
266       2.660     -28.552559617103     13.284674348012     -41.837233965115     118.952390283068
268       2.680     -28.498532432129     13.231029912363     -41.729562344492     118.472052287672
270       2.700     -28.428979914196     13.236792947514     -41.665772861710     118.523655118766
272       2.720     -28.367956592673     13.300174652818     -41.668131245491     119.091181664666
274       2.740     -28.337683286234     13.393833646246     -41.731516932480     119.929814276042
276       2.760     -28.343026353151     13.452822986476     -41.795849339627     120.458011116832
278       2.780     -28.363860872741     13.440139450005     -41.804000322746     120.344441379182
280       2.800     -28.373057682883     13.385385199000     -41.758442881882     119.854165978778
282       2.820     -28.361459500787     13.352543033312     -41.714002534099     119.560093726172
284       2.840     -28.342972024320     13.358995073055     -41.701967097375     119.617865977831
286       2.860     -28.326740664759     13.350468582952     -41.677209247711     119.541518876512
288       2.880     -28.301397208445     13.308635427983     -41.610032636428     119.166940347427
290       2.900     -28.260019644351     13.294791900781     -41.554811545132     119.042983929115
292       2.920     -28.222056289672     13.348659057205     -41.570715346877     119.525316190075
294       2.940     -28.209266970622     13.409022386030     -41.618289356652     120.065815871214
296       2.960     -28.213767325603     13.409462137677     -41.623229463280     120.069753454343
298       2.980     -28.212349958740     13.372858342105     -41.585208300845     119.741999166755
300       3.000     -28.197616995351     13.360148028543     -41.557765023895     119.628189664181
302       3.020     -28.183711134488     13.401096952374     -41.584808086862     119.994850693393
304       3.040     -28.191561270308     13.477832794867     -41.669394065174     120.681951607255
306       3.060     -28.230104194135     13.539855351663     -41.769959545799     121.237308192535
308       3.080     -28.288097335425     13.551007696661     -41.839105032086     121.337167478504
310       3.100     -28.344938476314     13.517138150564     -41.862076626878     121.033895952197
312       3.120     -28.385620132883     13.470816281716     -41.856436414599     120.619125000532
314       3.140     -28.409980904055     13.445298396641     -41.855279300696     120.390635137316
316       3.160     -28.426757755793     13.437344622552     -41.864102378344     120.319416196237
318       3.180     -28.440209137199     13.427176087099     -41.867385224298     120.228366045803
320       3.200     -28.448741632541     13.414823329661     -41.863564962202     120.117758138875
322       3.220     -28.453412153446     13.416939336276     -41.870351489723     120.136705087684
324       3.240     -28.461554878260     13.441728735592     -41.903283613852     120.358672011753
326       3.260     -28.481493999121     13.480056359543     -41.961550358664     120.701861642402
328       3.280     -28.517157973414     13.514623005658     -42.031780979073     121.011375076590
330       3.300     -28.564712356274     13.521614731873     -42.086327088146     121.073979738445
332       3.320     -28.610101915479     13.483379299439     -42.093481214918     120.731615600463
334       3.340     -28.635688233691     13.421963143330     -42.057651377021     120.181688791586
336       3.360     -28.638615602041     13.396773520105     -42.035389122147     119.956138219975
338       3.380     -28.640910712278     13.432124899677     -42.073035611955     120.272678241180
340       3.400     -28.656755937251     13.431593452768     -42.088349390019     120.267919608909
342       3.420     -28.660197369807     13.338493710476     -41.998691080284     119.434294591819
344       3.440     -28.621205166957     13.227682559010     -41.848887725966     118.442079728915
346       3.460     -28.544476675701     13.191099066193     -41.735575741894     118.114507234366
348       3.480     -28.464632866409     13.245253487355     -41.709886353764     118.599411694412
350       3.500     -28.411865539244     13.321708230827     -41.733573770071     119.283995617679
352       3.520     -28.384214529789     13.339788209651     -41.724002739440     119.445885675428
354       3.540     -28.355211653986     13.297719494770     -41.652931148756     119.069197917774
356       3.560     -28.308616201603     13.253453694059     -41.562069895662     118.672837219395
358       3.580     -28.246080625340     13.223273737355     -41.469354362695     118.402602669831
360       3.600     -28.172095451741     13.208186258075     -41.380281709816     118.267507772001
362       3.620     -28.095201325625     13.229668505152     -41.324869830776     118.459862102377
364       3.640     -28.031910412897     13.304315370724     -41.336225783621     119.128258094201
366       3.660     -28.005014477257     13.440165504235     -41.445179981492     120.344674671537
368       3.680     -28.038495294236     13.606732245474     -41.645227539710     121.836131028913
370       3.700     -28.135136382482     13.726665087587     -41.861801470069     122.910022482262
372       3.720     -28.271218815087     13.769138161584     -42.040356976671     123.290330914540
374       3.740     -28.417835006870     13.744949577228     -42.162784584098     123.073743751664
376       3.760     -28.548009512256     13.653695564343     -42.201705076599     122.256645592447
378       3.780     -28.634711277569     13.508023839209     -42.142735116778     120.952285436718
380       3.800     -28.660232698032     13.357633874904     -42.017866572937     119.605677664486
382       3.820     -28.630750483937     13.271447210138     -41.902197694074     118.833953080507
384       3.840     -28.577561271500     13.271018437562     -41.848579709061     118.830113805154
386       3.860     -28.528945555944     13.301343891857     -41.830289447801     119.101651155663
388       3.880     -28.490901516193     13.324056295306     -41.814957811499     119.305020437334
390       3.900     -28.462009776560     13.351430748076     -41.813440524636     119.550134205598
392       3.920     -28.445856034309     13.391208083389     -41.837064117698     119.906304706331
394       3.940     -28.446216675209     13.425917206073     -41.872133881281     120.217093890899
396       3.960     -28.457297557977     13.429060234223     -41.886357792200     120.245236900003
398       3.980     -28.465670340375     13.406958620713     -41.872628961088     120.047336696567
400       4.000     -28.465694109197     13.392766482453     -41.858460591651     119.920258777682
402       4.020     -28.462294841487     13.395051398164     -41.857346239651     119.940718156531
404       4.040     -28.460411437339     13.398479468871     -41.858890906210     119.971413467082
406       4.060     -28.458663322969     13.394002877311     -41.852666200280     119.931329589039
408       4.080     -28.455185425159     13.390911492436     -41.846096917595     119.903648999320
410       4.100     -28.451111070579     13.387459191724     -41.838570262303     119.872736730723
412       4.120     -28.444355315071     13.369438226236     -41.813793541307     119.711375084672
414       4.140     -28.427966530822     13.334464234859     -41.762430765681     119.398214237589
416       4.160     -28.397162245167     13.306311446555     -41.703473691722     119.146131169982
418       4.180     -28.358564226729     13.306913604222     -41.665477830951     119.151522953920
420       4.200     -28.322496172161     13.322860418393     -41.645356590554     119.294312427971
422       4.220     -28.292462416335     13.330557104418     -41.623019520753     119.363229375120
424       4.240     -28.262920134066     13.322919114062     -41.585839248128     119.294837995248
426       4.260     -28.230744773871     13.326281116905     -41.557025890777     119.324941727101
428       4.280     -28.203401441776     13.347691618064     -41.551093059839     119.516653636871
430       4.300     -28.182930823866     13.348205291212     -41.531136115078     119.521253121000
432       4.320     -28.158480408954     13.325012457047     -41.483492866001     119.313582011486
434       4.340     -28.125949324716     13.321349471268     -41.447298795984     119.280783246343
436       4.360     -28.096711485415     13.355598700902     -41.452310186317     119.587454499513
438       4.380     -28.083722950735     13.405108445497     -41.488831396232     120.030770030446
440       4.400     -28.089592418187     13.446361864116     -41.535954282303     120.400157538455
442       4.420     -28.110723292424     13.480356443179     -41.591079735603     120.704548623272
444       4.440     -28.145386166740     13.519119434747     -41.664505601488     121.051636581980
446       4.460     -28.197642647330     13.573502440331     -41.771145087661     121.538587811305
448       4.480     -28.272683135074     13.619985464535     -41.892668599609     121.954801765207
450       4.500     -28.361401167500     13.616452032136     -41.977853199636     121.923163034833
452       4.520     -28.442355758679     13.566163664865     -42.008519423544     121.472875633457
454       4.540     -28.501791989478     13.512538194559     -42.014330184037     120.992707455762
456       4.560     -28.542677278973     13.482613780607     -42.025291059580     120.724761063241
458       4.580     -28.573700215332     13.463118137969     -42.036818353300     120.550195000783
460       4.600     -28.595764821144     13.426866865685     -42.022631686829     120.225597244303
462       4.620     -28.599979700970     13.360078779859     -41.960058480829     119.627569604083
464       4.640     -28.574353153430     13.276122465568     -41.850475618998     118.875815816024
466       4.660     -28.516083580445     13.217040242735     -41.733123823181     118.346787294500
468       4.680     -28.440686121221     13.219364759359     -41.660050880579     118.367601264145
470       4.700     -28.372707028526     13.271187434637     -41.643894463162     118.831627022977
472       4.720     -28.327148118706     13.332749931763     -41.659898050469     119.382864184923
474       4.740     -28.305060132032     13.382616651402     -41.687676783434     119.829376108456
476       4.760     -28.301534460911     13.414561157807     -41.716095618718     120.115410624151
478       4.780     -28.308328222990     13.416150563504     -41.724478786494     120.129642332197
480       4.800     -28.311138669677     13.375652281297     -41.686790950974     119.767016396118
482       4.820     -28.293614967664     13.313446082655     -41.607061050319     119.210015462183
484       4.840     -28.252808111664     13.287683481570     -41.540491593234     118.979334385730
486       4.860     -28.210873865391     13.347111831194     -41.557985696586     119.511462163438
488       4.880     -28.201332710488     13.460667977125     -41.662000687612     120.528255999395
490       4.900     -28.235638537501     13.545075749311     -41.780714286812     121.284052189573
492       4.920     -28.296521458385     13.562871586098     -41.859393044483     121.443398009238
494       4.940     -28.358113418632     13.527664389712     -41.885777808344     121.128149019644
496       4.960     -28.402855630517     13.476042995264     -41.878898625781     120.665925550816
498       4.980     -28.428653887712     13.426231221815     -41.854885109527     120.219905621330
500       5.000     -28.431504824849     13.350164817281     -41.781669642130     119.538798926311
502       5.020     -28.400834021007     13.269257880011     -41.670091901018     118.814349585166
504       5.040     -28.342674715684     13.250509945534     -41.593184661218     118.646478581295
506       5.060     -28.287610513526     13.324809866516     -41.612420380042     119.311767994277
508       5.080     -28.270342087183     13.449623530906     -41.719965618089     120.429362850596
510       5.100     -28.301527934408     13.540573283089     -41.842101217497     121.243736627048
512       5.120     -28.360044464993     13.549592677379     -41.909637142372     121.324497245013
514       5.140     -28.414289233379     13.500445710712     -41.914734944091     120.884430066317
516       5.160     -28.447180476452     13.452146596291     -41.899327072742     120.451954647012
518       5.180     -28.465402451861     13.453896801660     -41.919299253521     120.467626172462
520       5.200     -28.491608445897     13.507774843015     -41.999383288912     120.950055898259
522       5.220     -28.541165444949     13.552382583118     -42.093548028067     121.349478358405
524       5.240     -28.601271567753     13.519166388080     -42.120437955833     121.052057007126
526       5.260     -28.637800904587     13.398023610454     -42.035824515041     119.967331662217
528       5.280     -28.619391617679     13.232777806044     -41.852169423723     118.487703114018
530       5.300     -28.534811498564     13.088692454913     -41.623503953477     117.197547520230
532       5.320     -28.400007587541     13.029707059626     -41.429714647167     116.669386002879
534       5.340     -28.253763855325     13.082260069263     -41.336023924588     117.139951253415
536       5.360     -28.138834015608     13.211352540571     -41.350186556178     118.295859002999
538       5.380     -28.077743889633     13.341149921305     -41.418893810937     119.458078586734
540       5.400     -28.063004459015     13.415311898307     -41.478316357322     120.122132834620
542       5.420     -28.070869162103     13.438922137660     -41.509791299763     120.333541434676
544       5.440     -28.087034163939     13.467441326356     -41.554475490295     120.588905290462
546       5.460     -28.120011253488     13.527843681631     -41.647854935119     121.129754418596
548       5.480     -28.176440858273     13.561574356818     -41.738015215091     121.431782479976
550       5.500     -28.238488916568     13.529123458093     -41.767612374662     121.141213673470
552       5.520     -28.282503980507     13.454007909984     -41.736511890490     120.468621048237
554       5.540     -28.293748578217     13.367986415986     -41.661734994202     119.698375420928
556       5.560     -28.273034044463     13.319963673313     -41.592997717776     119.268374663728
558       5.580     -28.240371462064     13.340106021142     -41.580477483206     119.448731393395
560       5.600     -28.222495303677     13.418121817815     -41.640617121492     120.147293153436
562       5.620     -28.240005558390     13.519245190419     -41.759250748809     121.052762611670
564       5.640     -28.296239640926     13.591291479218     -41.887531120144     121.697872761847
566       5.660     -28.375071743832     13.605064487581     -41.980136231413     121.821197746956
568       5.680     -28.453713911929     13.571905545725     -42.025619457654     121.524289046774
570       5.700     -28.516746860501     13.518592555508     -42.035339416009     121.046918849107
572       5.720     -28.557861838540     13.455066423608     -42.012928262148     120.478099092073
574       5.740     -28.571789459107     13.373387590238     -41.945177049345     119.746738110961
576       5.760     -28.550450977862     13.278656920906     -41.829107898769     118.898509599299
578       5.780     -28.492076630616     13.206036093645     -41.698112724261     118.248254970483
580       5.800     -28.410269855179     13.189050798932     -41.599320654111     118.096166830965
582       5.820     -28.328271172317     13.219182535783     -41.547453708100     118.365969614820
