Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
62        0.620     -11.934532403126     22.380803318634     -34.315335721761     200.400098750273
64        0.640     -11.993722697515     22.597026410745     -34.590749108260     202.336183366814
66        0.660     -12.069728384543     22.334997738192     -34.404726122735     199.989950700035
68        0.680     -12.073155092419     22.406527819839     -34.479682912257     200.630438676339
70        0.700     -12.082689812641     22.122197341216     -34.204887153857     198.084513260589
72        0.720     -11.940629802217     22.226938547443     -34.167568349660     199.022377186760
74        0.740     -12.036198625707     22.737387011479     -34.773585637186     203.592987148492
76        0.760     -12.109597913819     22.309081081933     -34.418678995752     199.757890197127
78        0.780     -12.129677048000     22.157628837254     -34.287305885254     198.401770653178
80        0.800     -12.067341371340     22.546202208297     -34.613543579637     201.881098040140
82        0.820     -12.146377330779     22.676030275983     -34.822407606762     203.043592398118
84        0.840     -12.280816786471     22.414495530168     -34.695312316639     200.701782403995
86        0.860     -12.244419646817     21.690375274673     -33.934794921490     194.217932443728
88        0.880     -11.950795693132     22.141850942565     -34.092646635697     198.260493702185
90        0.900     -12.003899735596     22.597019442265     -34.600919177861     202.336120970300
92        0.920     -12.038169351037     22.294816327946     -34.332985678983     199.630162069277
94        0.940     -12.071847445485     22.386689691499     -34.458537136984     200.452805960406
96        0.960     -12.025654213275     22.252721872008     -34.278376085283     199.253243823463
98        0.980     -12.098137735011     22.815207720350     -34.913345455361     204.289802071551
100       1.000     -12.187067463038     22.521294164227     -34.708361627265     201.658068758298
102       1.020     -12.364749266900     22.782516444554     -35.147265711453     203.997080903120
104       1.040     -12.409526512706     22.135285023760     -34.544811536467     198.201701765265
106       1.060     -12.439152691619     22.599436176941     -35.038588868560     202.357760670223
108       1.080     -12.489228401099     22.331290848543     -34.820519249642     199.956758814957
110       1.100     -12.436951532142     21.993085158428     -34.430036690570     196.928429012312
112       1.120     -12.341489233608     21.851427406715     -34.192916640322     195.660010402491
114       1.140     -12.059908701910     21.595069263716     -33.654977965625     193.364552261821
116       1.160     -11.849238934041     22.259760603777     -34.108999537818     199.316269378059
118       1.180     -11.888894111764     22.618546144877     -34.507440256640     202.528873360276
120       1.200     -11.950924060594     22.263371078795     -34.214295139389     199.348597956261
122       1.220     -11.808367363061     21.615479343202     -33.423846706263     193.547306289299
124       1.240     -11.610517186239     22.462829244615     -34.073346430854     201.134567635618
126       1.260     -11.748126891124     22.820996209692     -34.569123100815     204.341632822180
128       1.280     -11.923126965770     22.822133788879     -34.745260754649     204.351818827490
130       1.300     -12.123188328441     22.675508291110     -34.798696619551     203.038918489921
132       1.320     -12.204176589274     22.247869953328     -34.452046542602     199.209799226377
134       1.340     -12.178736607164     22.173393621627     -34.352130228791     198.542930213013
136       1.360     -12.016193506774     22.088881816833     -34.105075323607     197.786202503774
138       1.380     -12.086293262536     22.721633913134     -34.807927175670     203.451932226597
140       1.400     -12.106376275998     22.203791756730     -34.310168032728     198.815118355224
142       1.420     -12.147228908027     22.586491053118     -34.733719961145     202.241848651534
144       1.440     -12.187697358331     22.129497679615     -34.317195037946     198.149881268849
146       1.460     -12.118717803299     22.267888825338     -34.386606628636     199.389050340400
148       1.480     -12.083417321904     22.256458415549     -34.339875737453     199.286701232654
150       1.500     -12.065322444721     22.260627343014     -34.325949787735     199.324030253586
152       1.520     -12.022454871748     22.248998573674     -34.271453445422     199.219905013267
154       1.540     -11.990695354931     22.424717751558     -34.415413106490     200.793313264034
156       1.560     -12.110079880457     22.643883988023     -34.753963868481     202.755751108871
158       1.580     -12.169112768140     22.264866086460     -34.433978854600     199.361984414265
160       1.600     -12.168053880842     22.400134330068     -34.568188210910     200.573190687370
162       1.620     -12.208325728375     22.283051932662     -34.491377661037     199.524822419799
164       1.640     -12.107893909346     21.911263821267     -34.019157730614     196.195792037068
166       1.660     -11.929824785422     22.063703707565     -33.993528492987     197.560755029347
168       1.680     -11.861825130228     22.505357459029     -34.367182589257     201.515369801071
170       1.700     -12.053698615564     23.013151343302     -35.066849958867     206.062210372624
172       1.720     -12.194368301490     22.320928175344     -34.515296476834     199.863970334452
174       1.740     -12.204373432555     22.292882798820     -34.497256231375     199.612849043368
176       1.760     -12.206447966779     22.319940846976     -34.526388813755     199.855129690991
178       1.780     -12.157395514175     22.045575046632     -34.202970560806     197.398429066804
180       1.800     -12.031663988676     22.235382441956     -34.267046430632     199.097984718364
182       1.820     -12.082146621681     22.559513449714     -34.641660071394     202.000288314789
184       1.840     -12.061753527865     21.889988577825     -33.951742105690     196.005291239303
186       1.860     -11.929934053537     22.218569470605     -34.148503524141     198.947439580586
188       1.880     -11.889713473253     22.123924147337     -34.013637620590     198.099975266677
190       1.900     -11.784152115258     22.087507234529     -33.871659349787     197.773894347288
192       1.920     -11.699076398446     22.283646628874     -33.982723027320     199.530147393078
194       1.940     -11.716837869025     22.642723095263     -34.359560964287     202.745356351340
196       1.960     -11.836789134359     22.340793896156     -34.177583030515     200.041850116320
198       1.980     -11.778556833620     22.321782890643     -34.100339724263     199.871623546351
200       2.000     -11.832240287663     22.469303311865     -34.301543599529     201.192537123928
