Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
78        0.780     -12.407147549641     21.638040209713     -34.045187759354     193.749318693066
80        0.800     -12.256058872490     22.098410025226     -34.354468897716     197.871519097442
82        0.820     -12.459033957524     21.541385977648     -34.000419935172     192.883866395631
84        0.840     -11.826377351667     22.348912049963     -34.175289401630     200.114540930924
86        0.860     -12.089497255315     22.554355063083     -34.643852318398     201.954099571004
88        0.880     -12.237566365759     22.533958624474     -34.771524990233     201.771467685400
90        0.900     -11.964688162720     22.303216172291     -34.267904335011     199.705375170982
92        0.920     -11.931918068261     22.356282792039     -34.288200860300     200.180539341202
94        0.940     -12.188225345618     22.237851690951     -34.426077036569     199.120094637088
96        0.960     -11.804860833179     22.391008668578     -34.195869501757     200.491478541581
98        0.980     -11.967162658654     22.829113165769     -34.796275824424     204.414312912183
100       1.000     -12.186303528853     22.440779751524     -34.627083280377     200.937134123967
102       1.020     -12.101327210524     22.495149977234     -34.596477187757     201.423970920938
104       1.040     -12.070788883624     22.494203065623     -34.564991949246     201.415492173434
106       1.060     -12.451234348744     22.327728963772     -34.778963312517     199.924865319016
108       1.080     -12.312936080048     21.589479712971     -33.902415793019     193.314502828598
110       1.100     -11.862768294372     22.284356645087     -34.147124939458     199.536504953934
112       1.120     -11.339716119663     22.972172411389     -34.311888531052     205.695280647843
114       1.140     -11.329408919245     22.871156011208     -34.200564930452     204.790769032085
116       1.160     -11.536925758441     22.655014563611     -34.191940322053     202.855415469226
118       1.180     -11.520951541116     22.550618034108     -34.071569575225     201.920637815191
120       1.200     -11.065603676147     23.068465316076     -34.134068992223     206.557497581415
122       1.220     -11.539243264450     22.857253801578     -34.396497066028     204.666287165059
124       1.240     -12.043167925649     22.916868410216     -34.960036335865     205.200082725827
126       1.260     -11.999777089014     22.000308879834     -34.000085968848     196.993110983843
128       1.280     -12.465485893668     21.812873229273     -34.278359122941     195.314792187730
130       1.300     -12.774404349273     22.076505048992     -34.850909398265     197.675379605135
132       1.320     -12.763156603490     21.871777173866     -34.634933777356     195.842224386889
134       1.340     -12.308692320179     21.804077076792     -34.112769396971     195.236030500725
136       1.360     -12.203593530820     22.171058835085     -34.374652365905     198.522024285424
138       1.380     -12.349344303974     22.302209835421     -34.651554139395     199.696364323366
140       1.400     -12.584179382587     21.703490909264     -34.287670291851     194.335371234010
142       1.420     -12.901115131119     21.684737555960     -34.585852687080     194.167451709387
144       1.440     -13.082044765603     21.884120843479     -34.966165609081     195.952750920454
146       1.460     -12.500763999588     22.177225641867     -34.677989641455     198.577242530737
148       1.480     -12.198487789496     22.329973263653     -34.528461053149     199.944961019393
150       1.500     -11.927967245879     22.359331442692     -34.287298688571     200.207837284143
152       1.520     -11.759465016540     22.537147279925     -34.296612296465     201.800019246226
154       1.540     -11.729144882698     22.892626188888     -34.621771071586     204.983015291798
156       1.560     -11.883667982855     23.004516533434     -34.888184516289     205.984893364579
158       1.580     -11.601127228622     22.941508374282     -34.542635602905     205.420711590748
160       1.600     -11.493730364532     22.892434591849     -34.386164956381     204.981299711479
162       1.620     -11.121072921580     22.978016172894     -34.099089094473     205.747606311314
164       1.640     -11.403633551297     23.007183005958     -34.410816557256     206.008769243813
166       1.660     -11.735421989738     22.970163616419     -34.705585606157     205.677293683541
168       1.680     -11.792258103797     22.469940384946     -34.262198488743     201.198241544205
170       1.700     -11.583352355097     22.708054132300     -34.291406487397     203.330337421383
172       1.720     -11.421472605592     23.267133293641     -34.688605899233     208.336391830902
174       1.740     -11.347355267474     23.023043262434     -34.370398529908     206.150783671032
176       1.760     -10.905014951843     23.236105581736     -34.141120533578     208.058566390893
