Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
74        0.740     -25.809108517722     12.662725749528     -38.471834267250     113.383396231370
76        0.760     -25.813063063844     12.864419659295     -38.677482723139     115.189385000368
78        0.780     -25.828061218544     13.138772132824     -38.966833351368     117.645966294830
80        0.800     -25.812873297214     12.915151276045     -38.728024573259     115.643641304831
82        0.820     -25.813903266286     12.731353175618     -38.545256441904     113.997893520390
84        0.840     -25.817942251579     12.664810461768     -38.482752713347     113.402062966999
86        0.860     -25.815450972749     12.791251576391     -38.606702549139     114.534230186189
88        0.880     -25.822940167406     13.013741262316     -38.836681429721     116.526426551775
90        0.900     -25.816708386922     12.885170051736     -38.701878438659     115.375186226317
92        0.920     -25.816383754727     12.871643227279     -38.688026982006     115.254065598141
94        0.940     -25.827292346300     13.001854474409     -38.829146820709     116.419990985708
96        0.960     -25.809008946236     12.876005289124     -38.685014235360     115.293123964910
98        0.980     -25.819651507613     13.045874367277     -38.865525874890     116.814149799052
100       1.000     -25.814730186759     13.064298906156     -38.879029092915     116.979125084261
102       1.020     -25.822805330511     12.947446732536     -38.770252063047     115.932818265010
104       1.040     -25.803440851658     12.637670282827     -38.441111134485     113.159046911564
106       1.060     -25.822588020205     12.759035004330     -38.581623024535     114.245759565610
108       1.080     -25.811696366930     12.737353858631     -38.549050225561     114.051624275770
110       1.100     -25.812857848595     12.784977355084     -38.597835203679     114.478050139765
112       1.120     -25.821469306322     12.922853580514     -38.744322886836     115.712608560129
114       1.140     -25.814107256572     12.798977143262     -38.613084399834     114.603405735516
116       1.160     -25.814673811832     12.776691300646     -38.591365112479     114.403855925022
118       1.180     -25.816685369510     12.842916957853     -38.659602327364     114.996847519432
120       1.200     -25.808811387002     12.917178805316     -38.725990192318     115.661796018060
122       1.220     -25.826289580224     13.201847414238     -39.028136994462     118.210749088549
124       1.240     -25.810790107521     12.964755449790     -38.775545557311     116.087802364439
126       1.260     -25.813992773310     12.792698282004     -38.606691055314     114.547184142475
128       1.280     -25.815287424062     12.766128252501     -38.581415676563     114.309273265891
130       1.300     -25.814148027738     12.598224900080     -38.412372927818     112.805848749503
132       1.320     -25.820255587840     12.423779448842     -38.244035036682     111.243845582907
134       1.340     -25.822319840570     12.454460918618     -38.276780759188     111.518570733981
136       1.360     -25.814802257593     12.485566485262     -38.300368742855     111.797093293626
138       1.380     -25.816937853456     12.591404131319     -38.408341984775     112.744774858907
140       1.400     -25.817080297228     12.722828341488     -38.539908638716     113.921561246824
142       1.420     -25.812190519418     12.831013604391     -38.643204123809     114.890263623612
144       1.440     -25.821117997047     12.960718095029     -38.781836092076     116.051651459519
146       1.460     -25.815328214617     12.823845306559     -38.639173521176     114.826077920671
148       1.480     -25.821367809986     12.829768860826     -38.651136670812     114.879118057040
150       1.500     -25.814281846218     12.848263086209     -38.662544932427     115.044717322637
152       1.520     -25.820202381693     12.909168036332     -38.729370418025     115.590066738619
154       1.540     -25.814840259821     12.820586884234     -38.635427144055     114.796901659813
156       1.560     -25.813221185176     12.844649767455     -38.657870952631     115.012363281326
158       1.580     -25.815539041888     13.023187348138     -38.838726390026     116.611007811198
160       1.600     -25.813510169138     13.091619739816     -38.905129908954     117.223758741307
162       1.620     -25.820016035185     13.079789282412     -38.899805317597     117.117827564561
164       1.640     -25.818777797854     12.801217636836     -38.619995434689     114.623467353813
166       1.660     -25.811360120574     12.617495420629     -38.428855541204     112.978399044771
168       1.680     -25.819626795036     12.650838720588     -38.470465515624     113.276958507059
170       1.700     -25.801212601067     12.630487757673     -38.431700358740     113.094733815669
172       1.720     -25.828161178905     13.111227228264     -38.939388407169     117.399326283066
174       1.740     -25.810552696030     13.104551175104     -38.915103871134     117.339548191386
176       1.760     -25.820344737138     13.074773907973     -38.895118645111     117.072919367184
178       1.780     -25.816479559674     13.025679122647     -38.842158682321     116.633319425778
180       1.800     -25.819286188292     12.905401968336     -38.724688156627     115.556344964309
182       1.820     -25.813546657861     12.569279210576     -38.382825868437     112.546665960020
184       1.840     -25.815401672933     12.464838706568     -38.280240379500     111.611494553576
186       1.860     -25.815598424290     12.651055312787     -38.466653737076     113.278897896695
188       1.880     -25.818651267187     12.824083817876     -38.642735085063     114.828213576430
190       1.900     -25.812623629403     12.735860599940     -38.548484229343     114.038253478271
192       1.920     -25.810913440311     12.893370514011     -38.704283954321     115.448614039707
194       1.940     -25.826448372118     13.265499616602     -39.091947988720     118.780697693963
196       1.960     -25.809627133557     13.261176069265     -39.070803202821     118.741984190209
198       1.980     -25.813643484560     13.229218074181     -39.042861558741     118.455828895443
200       2.000     -25.805681511372     13.121798471900     -38.927479983272     117.493982325493
202       2.020     -25.827033553118     13.149569621646     -38.976603174763     117.742648160771
204       2.040     -25.794844039512     12.716611655340     -38.511455694851     113.865896376346
206       2.060     -25.817749812341     12.741455752318     -38.559205564659     114.088353069113
208       2.080     -25.818379320078     12.678769138311     -38.497148458388     113.527050444783
210       2.100     -25.814676932990     12.573275153749     -38.387952086739     112.582446061165
212       2.120     -25.808645050290     12.509264465183     -38.317909515473     112.009287532081
214       2.140     -25.813656575252     12.730567933890     -38.544224509142     113.990862382247
216       2.160     -25.819775587585     13.118218170949     -38.937993758534     117.461923929107
218       2.180     -25.812686757785     13.088649131351     -38.901335889136     117.197159596439
220       2.200     -25.810129777615     12.912081682416     -38.722211460031     115.616155836254
222       2.220     -25.818851054864     13.057335408073     -38.876186462938     116.916773180107
224       2.240     -25.811878449317     13.075503903965     -38.887382353283     117.079455829120
226       2.260     -25.817337243219     12.974183647352     -38.791520890571     116.172223450475
228       2.280     -25.811290999896     12.783457077858     -38.594748077754     114.464437415422
230       2.300     -25.810242083339     12.810076459958     -38.620318543297     114.702790200415
232       2.320     -25.816062621982     12.981057632426     -38.797120254408     116.233773845609
234       2.340     -25.821210261152     13.031761552889     -38.852971814041     116.687782154565
236       2.360     -25.811425871541     12.779260816566     -38.590686688107     114.426863644485
238       2.380     -25.814693648353     12.899498910581     -38.714192558933     115.503488355894
240       2.400     -25.821011988806     13.289646329050     -39.110658317856     118.996909931310
242       2.420     -25.819231981085     13.185371833391     -39.004603814476     118.063224981323
244       2.440     -25.811200257461     12.797669571839     -38.608869829300     114.591697601601
246       2.460     -25.814586006725     12.571621324007     -38.386207330732     112.567637493356
248       2.480     -25.810368231006     12.590853180544     -38.401221411550     112.739841586937
250       2.500     -25.814647177831     12.817080209212     -38.631727387042     114.765502517848
252       2.520     -25.816703482613     13.066056263204     -38.882759745817     116.994860646609
254       2.540     -25.812142513815     13.306616528614     -39.118759042429     119.148862907259
256       2.560     -25.818734253854     13.435881289196     -39.254615543050     120.306313353374
258       2.580     -25.815190252185     13.064404481094     -38.879594733279     116.980070413507
260       2.600     -25.802926837910     12.619245192742     -38.422172030651     112.994066690795
262       2.620     -25.813713572889     12.667830005241     -38.481543578131     113.429100281149
264       2.640     -25.816716009497     12.732973973531     -38.549689983028     114.012406317679
266       2.660     -25.809813558291     12.643100117829     -38.452913676120     113.207666233009
268       2.680     -25.815387095797     12.650534449755     -38.465921545553     113.274234033588
270       2.700     -25.814973906107     12.662756074903     -38.477729981010     113.383667768008
272       2.720     -25.812884336055     12.722795853081     -38.535680189135     113.921270342164
274       2.740     -25.811923822156     12.857197890046     -38.669121712203     115.124720508661
276       2.760     -25.818914937402     12.987872571658     -38.806787509061     116.294795537979
278       2.780     -25.815644405247     12.922827469787     -38.738471875033     115.712374761893
280       2.800     -25.813887525294     12.928013425450     -38.741900950744     115.758810361734
282       2.820     -25.816544122271     13.014291061400     -38.830835183671     116.531349511387
284       2.840     -25.817129598271     12.921783104704     -38.738912702975     115.703023405610
286       2.860     -25.803438782113     12.712788485465     -38.516227267578     113.831663305726
288       2.880     -25.818233665101     12.865239295584     -38.683472960685     115.196724111076
290       2.900     -25.812013742572     13.050364668192     -38.862378410764     116.854356432117
292       2.920     -25.826558056705     13.192925068866     -39.019483125571     118.130857456956
294       2.940     -25.808194737354     12.745400198216     -38.553594935570     114.123672058174
296       2.960     -25.816937348772     12.660705788050     -38.477643136822     113.365309280964
298       2.980     -25.819489327731     12.803582912447     -38.623072240178     114.644646283779
300       3.000     -25.815972803965     12.846684269510     -38.662657073475     115.030580429609
302       3.020     -25.812837003611     12.768483448190     -38.581320451801     114.330361939157
304       3.040     -25.814292214306     12.643480708186     -38.457772922493     113.211074079639
306       3.060     -25.811710465370     12.579828162588     -38.391538627958     112.641122400871
308       3.080     -25.806495664720     12.722001807912     -38.528497472632     113.914160377077
310       3.100     -25.815488449416     13.161552567396     -38.977041016812     117.849944734421
312       3.120     -25.818553513097     13.326683537034     -39.145237050132     119.328545039835
314       3.140     -25.810626387044     13.152839045143     -38.963465432186     117.771922927289
316       3.160     -25.808856851640     13.097290500918     -38.906147352558     117.274535340724
318       3.180     -25.812321425964     13.198113311239     -39.010434737203     118.177313532240
320       3.200     -25.816290739741     13.190026057691     -39.006316797431     118.104899401850
322       3.220     -25.817535978648     12.832263704509     -38.649799683157     114.901457153329
324       3.240     -25.802100756803     12.525524688765     -38.327625445569     112.154883307410
